Natasha | Romanoff
Bruce | Banner
Thor | Odinson
Clint | Barton
Wanda | Maximoff
Padmé| Amidala
Scott | Lang
Hope | van Dyne
Stephen | Strange
Carol | Danvers
Luke | Skywalker
Obi-Wan | Kenobi
Sam | Wilson
Bucky | Barnes
Pepper | Potts
Happy | Hogan
Nick | Fury
Maria | Hill
Phil | Coulson
Matt | Murdock
Jessica | Jones
Luke | Cage
Danny | Rand
Frank | Castle
Wade | Wilson
Peter | Quill
Lina | Inverse
Gourry | Gabriev
Amelia | Wil Tesla Seyruun
Zelgadis | Greywords
Sylphiel | Nels Lahda
Martina | Zoana Mel Navratilova
Scott | Summers
Jean | Grey
Ororo | Munroe
Henry | McCoy
Kurt | Wagner
Piotr | Rasputin
Kitty | Pryde
Zelas | Metallium
Charles | Xavier
Erik | Lehnsherr
Reed | Richards
Sue | Storm
Johnny | Storm
Ben | Grimm
Victor | von Doom
Matt | Murdock
Jennifer | Walters
